track_id,student_id,date_enrolled
1,258800,2022-01-02
1,258807,2022-01-01
1,258818,2022-01-03
1,258822,2022-01-01
1,258833,2022-01-01
1,258842,2022-01-01
1,258844,2022-01-01
1,258857,2022-01-01
1,258862,2022-01-01
1,258865,2022-01-02
1,258869,2022-01-01
1,258878,2022-01-08
1,258901,2022-01-01
1,258903,2022-01-01
1,258905,2022-01-01
1,258907,2022-01-01
1,258913,2022-04-20
1,258922,2022-01-02
1,258924,2022-01-02
1,258928,2022-01-02
1,258930,2022-02-18
1,258943,2022-01-02
1,258954,2022-01-02
1,258955,2022-01-02
1,258961,2022-01-02
1,258971,2022-01-02
1,259026,2022-01-04
1,259028,2022-01-02
1,259034,2022-01-16
1,259039,2022-01-08
1,259045,2022-01-18
1,259054,2022-01-27
1,259056,2022-01-03
1,259060,2022-01-03
1,259062,2022-01-03
1,259076,2022-01-03
1,259090,2022-01-03
1,259099,2022-01-03
1,259105,2022-01-03
1,259106,2022-03-28
1,259108,2022-01-27
1,259150,2022-01-03
1,259154,2022-01-03
1,259155,2022-01-03
1,259160,2022-01-04
1,259161,2022-01-03
1,259179,2022-01-04
1,259186,2022-01-04
1,259221,2022-01-04
1,259238,2022-01-04
1,259240,2022-01-06
1,259247,2022-01-04
1,259254,2022-01-04
1,259258,2022-01-04
1,259260,2022-01-08
1,259261,2022-01-07
1,259267,2022-01-04
1,259273,2022-01-04
1,259276,2022-02-17
1,259278,2022-01-04
1,259283,2022-01-04
1,259305,2022-01-05
1,259316,2022-01-05
1,259355,2022-01-05
1,259361,2022-07-28
1,259365,2022-01-05
1,259383,2022-01-05
1,259418,2022-01-28
1,259438,2022-01-06
1,259441,2022-01-06
1,259452,2022-01-06
1,259480,2022-01-06
1,259482,2022-01-08
1,259483,2022-01-26
1,259485,2022-01-06
1,259486,2022-01-06
1,259491,2022-01-06
1,259494,2022-02-01
1,259504,2022-01-06
1,259510,2022-01-07
1,259524,2022-05-28
1,259527,2022-02-09
1,259531,2022-01-08
1,259537,2022-01-06
1,259541,2022-01-07
1,259547,2022-01-07
1,259549,2022-01-08
1,259561,2022-01-07
1,259610,2022-01-07
1,259617,2022-01-07
1,259620,2022-01-28
1,259624,2022-01-07
1,259655,2022-01-07
1,259657,2022-05-08
1,259690,2022-01-08
1,259702,2022-01-08
1,259707,2022-01-08
1,259737,2022-01-08
1,259756,2022-01-08
1,259764,2022-07-19
1,259777,2022-01-10
1,259781,2022-01-09
1,259796,2022-01-09
1,259806,2022-01-09
1,259811,2022-01-09
1,259812,2022-01-09
1,259838,2022-01-09
1,259851,2022-01-09
1,259870,2022-01-10
1,259878,2022-01-10
1,259882,2022-01-10
1,259890,2022-01-10
1,259900,2022-01-10
1,259915,2022-01-10
1,259929,2022-01-10
1,259930,2022-01-10
1,259936,2022-01-11
1,259952,2022-01-24
1,259953,2022-01-12
1,259959,2022-01-10
1,259969,2022-01-10
1,259973,2022-01-31
1,259988,2022-01-11
1,259990,2022-01-11
1,260016,2022-01-11
1,260024,2022-01-19
1,260033,2022-01-11
1,260038,2022-03-27
1,260042,2022-01-15
1,260054,2022-01-11
1,260073,2022-01-11
1,260076,2022-01-11
1,260078,2022-01-11
1,260099,2022-01-12
1,260132,2022-01-12
1,260164,2022-01-12
1,260165,2022-01-12
1,260168,2022-02-01
1,260176,2022-04-30
1,260180,2022-01-13
1,260181,2022-01-12
1,260182,2022-01-12
1,260190,2022-02-10
1,260192,2022-01-13
1,260210,2022-03-07
1,260223,2022-01-13
1,260246,2022-01-13
1,260271,2022-01-27
1,260321,2022-01-23
1,260324,2022-01-13
1,260329,2022-01-18
1,260334,2022-03-26
1,260345,2022-01-14
1,260354,2022-01-14
1,260357,2022-01-14
1,260366,2022-01-17
1,260381,2022-01-14
1,260383,2022-01-14
1,260402,2022-01-14
1,260403,2022-01-14
1,260422,2022-01-14
1,260464,2022-01-17
1,260465,2022-01-19
1,260467,2022-01-14
1,260469,2022-01-16
1,260485,2022-01-15
1,260486,2022-01-15
1,260494,2022-01-18
1,260500,2022-01-15
1,260515,2022-01-15
1,260549,2022-01-15
1,260572,2022-01-16
1,260588,2022-01-16
1,260593,2022-01-18
1,260601,2022-01-16
1,260608,2022-02-22
1,260611,2022-01-16
1,260627,2022-01-16
