student_id,engagement_date,paid,cohort,period
258815,2022-01-01,0,2022-01,0
258822,2022-01-01,0,2022-01,0
258798,2022-01-01,0,2022-01,0
258807,2022-01-01,0,2022-01,0
258809,2022-01-01,0,2022-01,0
258810,2022-01-01,0,2022-01,0
258812,2022-01-01,0,2022-01,0
258813,2022-01-01,0,2022-01,0
258814,2022-01-01,0,2022-01,0
258816,2022-01-01,0,2022-01,0
258817,2022-01-01,0,2022-01,0
258824,2022-01-01,0,2022-01,0
258826,2022-01-01,0,2022-01,0
258827,2022-01-01,0,2022-01,0
258828,2022-01-01,0,2022-01,0
258830,2022-01-01,0,2022-01,0
258831,2022-01-01,0,2022-01,0
258832,2022-01-01,0,2022-01,0
258833,2022-01-01,0,2022-01,0
258840,2022-01-01,0,2022-01,0
258841,2022-01-01,0,2022-01,0
258845,2022-01-01,0,2022-01,0
258846,2022-01-01,0,2022-01,0
258848,2022-01-01,0,2022-01,0
258852,2022-01-01,0,2022-01,0
258855,2022-01-01,0,2022-01,0
258863,2022-01-01,0,2022-01,0
258869,2022-01-01,0,2022-01,0
258870,2022-01-01,0,2022-01,0
258871,2022-01-01,0,2022-01,0
258882,2022-01-01,0,2022-01,0
258884,2022-01-01,0,2022-01,0
258888,2022-01-01,0,2022-01,0
258890,2022-01-01,0,2022-01,0
258892,2022-01-01,0,2022-01,0
258902,2022-01-01,0,2022-01,0
258904,2022-01-01,0,2022-01,0
258803,2022-01-01,1,2022-01,0
258804,2022-01-01,0,2022-01,0
258811,2022-01-01,0,2022-01,0
258819,2022-01-01,0,2022-01,0
258834,2022-01-01,0,2022-01,0
258849,2022-01-01,0,2022-01,0
258851,2022-01-01,0,2022-01,0
258857,2022-01-01,0,2022-01,0
258860,2022-01-01,0,2022-01,0
258861,2022-01-01,0,2022-01,0
258862,2022-01-01,1,2022-01,0
258865,2022-01-01,1,2022-01,0
258876,2022-01-01,0,2022-01,0
258881,2022-01-01,0,2022-01,0
258885,2022-01-01,0,2022-01,0
258894,2022-01-01,0,2022-01,0
258895,2022-01-01,0,2022-01,0
258903,2022-01-01,0,2022-01,0
258908,2022-01-01,1,2022-01,0
258803,2022-01-02,1,2022-01,0
258809,2022-01-02,0,2022-01,0
258837,2022-01-02,0,2022-01,0
258862,2022-01-02,1,2022-01,0
258876,2022-01-02,0,2022-01,0
258878,2022-01-02,1,2022-01,0
258893,2022-01-02,0,2022-01,0
258902,2022-01-02,0,2022-01,0
258904,2022-01-02,0,2022-01,0
258908,2022-01-02,1,2022-01,0
258910,2022-01-02,0,2022-01,0
258913,2022-01-02,1,2022-01,0
258917,2022-01-02,0,2022-01,0
258920,2022-01-02,0,2022-01,0
258922,2022-01-02,0,2022-01,0
258951,2022-01-02,0,2022-01,0
258955,2022-01-02,0,2022-01,0
258971,2022-01-02,0,2022-01,0
258974,2022-01-02,0,2022-01,0
258984,2022-01-02,1,2022-01,0
258994,2022-01-02,0,2022-01,0
258997,2022-01-02,0,2022-01,0
259000,2022-01-02,0,2022-01,0
259002,2022-01-02,0,2022-01,0
259011,2022-01-02,1,2022-01,0
259015,2022-01-02,0,2022-01,0
259020,2022-01-02,0,2022-01,0
259024,2022-01-02,0,2022-01,0
259025,2022-01-02,0,2022-01,0
259026,2022-01-02,0,2022-01,0
259088,2022-01-02,0,2022-01,0
258863,2022-01-02,0,2022-01,0
258800,2022-01-02,1,2022-01,0
258829,2022-01-02,0,2022-01,0
258841,2022-01-02,0,2022-01,0
258865,2022-01-02,1,2022-01,0
258906,2022-01-02,0,2022-01,0
258914,2022-01-02,0,2022-01,0
258925,2022-01-02,0,2022-01,0
258927,2022-01-02,0,2022-01,0
258936,2022-01-02,0,2022-01,0
258939,2022-01-02,0,2022-01,0
258940,2022-01-02,0,2022-01,0
258947,2022-01-02,0,2022-01,0
258954,2022-01-02,0,2022-01,0
258959,2022-01-02,0,2022-01,0
258960,2022-01-02,0,2022-01,0
258962,2022-01-02,0,2022-01,0
258965,2022-01-02,0,2022-01,0
258967,2022-01-02,0,2022-01,0
258969,2022-01-02,0,2022-01,0
258973,2022-01-02,0,2022-01,0
258979,2022-01-02,0,2022-01,0
258980,2022-01-02,0,2022-01,0
258982,2022-01-02,0,2022-01,0
258989,2022-01-02,0,2022-01,0
258991,2022-01-02,0,2022-01,0
